MATRÍCULA ESTABLECIMIENTO,NOMBRE ESTABLECIMIENTO,DIRECCIÓN,MUNICIPIO,TELÉFONO ESTABLECIMIENTO 1,TELÉFONO ESTABLECIMIENTO 2,TELÉFONO ESTABLECIMIENTO 3,EMAIL ESTABLECIMIENTO,CÓDIGO CIIU 1,DESCRIPCION CÓDIGO CIIU 1,CÓDIGO CIIU 2,DESCRIPCION CÓDIGO CIIU 2,CÓDIGO CIIU 3,DESCRIPCION CÓDIGO CIIU 3,CÓDIGO CIIU 4,DESCRIPCION CÓDIGO CIIU 4,MATRICULA MERCANTIL / NRO ESAL DEL PROPIETARIO,NOMBRE / RAZÓN SOCIAL PROPIETARIO,REPRESENTANTE LEGAL
132340-2,RESIDENCIAS SU CASA ,CALLE 49 49 41,CIUDAD BOLIVAR,8411393.0,5123653.0,,servicom502@hotmail.com,5511,Alojamiento en hoteles,4755.0,Comercio al por menor de artículos y utensilios de uso doméstico en establecimientos especializados,,,,,355201-1,TABARES PULGARIN OSCAR TULIO,
407780-2,HOTEL EL AMANECER,CALLE 13 13 73,BARBOSA,4063824.0,3146324803.0,,angelitaes22@hotmail.com,5511,Alojamiento en hoteles,,,,,,,342660-1,ESCOBAR RIOS ANGELA PIEDAD,
408731-2,HOTEL LEUROZ,CARRERA 70 A 43 19,MEDELLÍN,5897671.0,3104197466.0,,hotelleuroz70@gmail.com,5511,Alojamiento en hoteles,,,,,,,593949-1,MARTINEZ URIBE ELI,
277902-2,ESTADERO Y PISCINA LAS PLAYITAS DE SALGAR ,PUENTE RESTREPO,SALGAR,6048442659.0,3117091821.0,,sandosorio@hotmail.com,5630,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,5611.0,Expendio a la mesa de comidas preparadas,5511.0,Alojamiento en hoteles,,,413198-1,EDWIN ALBERTO OSORIO RUEDA,
288092-2,HOTEL DANN CARLTON MEDELLIN ,CARRERA 43 A NO. 7 50,MEDELLÍN,3137277497.0,,,contable@danncarlton.com,5511,Alojamiento en hoteles,5611.0,Expendio a la mesa de comidas preparadas,,,,,235102-4,HOTEL DANN CARLTON MEDELLIN S A ,MANUEL JOSE MOLINA ARISTIZABAL
288483-2,HOSTERIA GUARACU,VEREDA LLANO DE AGUIRRE,SAN JERÓNIMO,8583000.0,3206726325.0,3116431742.0,contabilidad@guaracu.com.co,5511,Alojamiento en hoteles,5513.0,Alojamiento en centros vacacionales,,,,,225496-12,ARBELAEZ ESTRADA S.A.S.,JORGE HUMBERTO ARBELAEZ
454485-2,HOTEL MONTE VERDE CONCORDIA,CARRERA 20 20 42,CONCORDIA,8446129.0,,,admonlggo@gmail.com;monteverdehotel@hotmail.com,5511,Alojamiento en hoteles,,,,,,,621063-1,GAVIRIA ARDILA LUISA FERNANDA,
465258-2,FINCA HOTEL MIRADOR DEL ROCIO,KILOMETRO 2 VIA LA PINTADA SANTA BARBARA,LA PINTADA,8453191.0,3206353456.0,,miradordelrocio@hotmail.com,5511,Alojamiento en hoteles,5611.0,Expendio a la mesa de comidas preparadas,,,,,401636-1,ROMERO ROCIO DEL SOCORRO,
142871-2,HOSPEDAJE COLUMBIA ,CL 45 52A 14,MEDELLÍN,2312108.0,3136041402.0,,sandramile2150@hotmail.com,5519,Otros tipos de alojamiento para visitantes,,,,,,,,GIRALDO ZABALA FABIO DE JESUS,
455230-2,DONDE RAFA _ POLLOS & ASADOS,CALLE 20 19 16,EBEJICO,3504170714.0,,,saraluca1020@gmail.com,5613,Expendio de comidas preparadas en cafeterías,5621.0,Catering para eventos,5519.0,Otros tipos de alojamiento para visitantes,,,391337-1,ALVAREZ PALACIO RAFAEL ARTURO,
132480-2,"ALOJAMIENTO Z NRO 2
",CARRERA 51 D 61 103,MEDELLÍN,6042630494.0,,,riosllanoasesoria@hotmail.com,5519,Otros tipos de alojamiento para visitantes,,,,,,,605809-1,ALVAREZ FLOREZ GLORIA AMPARO,
130427-2,RESIDENCIAS MORGAN ,CARRERA 54 53 14,MEDELLÍN,6044079326.0,3217190583.0,,restrepomarcela94@gmail.com,5530,Servicio de estancia por horas,4711.0,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",5630.0,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,5590.0,Otros tipos de alojamiento n.c.p.,711075-1,ALZATE GALVIS ROBINSON,
146308-2,CLUB EL FARO ,CALLE 73 51 D 35,MEDELLÍN,4485244.0,,,invisa@une.net.co,5513,Alojamiento en centros vacacionales,,,,,,,80739-3,EL CLUB EL FARO LTDA ,NORMAN ISAZA ISAZA
415045-2,DECORACIONES PASEO DE BOLIVAR,CRA 51 CALLE 44-99,MEDELLÍN,3147958773.0,5078494.0,5868424.0,isabecar@live.com,4759,Comercio al por menor de otros artículos domésticos en establecimientos especializados,5519.0,Otros tipos de alojamiento para visitantes,,,,,350241-1,DUQUE GONZALEZ GIRALDO ANGELA MARIA,
414958-2,INVERSIONES TURISTICAS ANTIOQUEÑAS LTDA.,KM 2 VIA AL MAR VEREDA LLANO DE AGUIRRE,SAN JERÓNIMO,3523300.0,8581740.0,,juanchenao71@gmail.com;contadorlagotours@gmail.com;invertur05sas@gmail.com,5511,Alojamiento en hoteles,,,,,,,350140-12,INVERSIONES TURISTICAS ANTIOQUEÑAS S.A.S.,JUAN CARLOS HENAO GAVIRIA
406942-2,VOILAH,VEREDA LA ENEA KM 14 VIA GUARNE LA ENEA FINCA LA MONTAÑITA,MEDELLÍN,3106704932.0,3043792471.0,,juans_alzate@hotmail.es,5621,Catering para eventos,5611.0,Expendio a la mesa de comidas preparadas,8551.0,Formación para el trabajo,5512.0,Alojamiento en apartahoteles,341794-1,ALZATE VASQUEZ JUAN SEBASTIAN,
413435-2,HOTEL POSADA SAN SEBASTIAN,DIAGONAL 28 6 A 286,SAN JERÓNIMO,8582368.0,8582257.0,,posadasansebastian@gmail.com,5511,Alojamiento en hoteles,5611.0,Expendio a la mesa de comidas preparadas,5630.0,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,,,348572-12,INVERSIONES POSADA SAN SEBASTIAN S.A.S.,MARILUZ MARQUEZ ZAPATA
409581-2,HOTEL D LEONI,CARRERA 45 49 38,MEDELLÍN,3176405958.0,,,hoteleslbd@gmail.com,5511,Alojamiento en hoteles,5630.0,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,,,,,632119-1,JAIME DUARTE DENIS ALFONSO,
346352-2,HOTEL Y RESTAURANTE MARLENY ORREGO ,CALLE 10 9 27,ANGOSTURA,8645033.0,3176439272.0,,jhonjairoruamesa@hotmail.com,5511,Alojamiento en hoteles,,,,,,,278210-1,ORREGO AYALA MARLENY DEL CARMEN,
407134-2,RESIDENCIAS LOS BALCONES MM,CARRERA 20 N 27 91,YARUMAL,8536037.0,3216987476.0,,margaram03@gmail.com,5511,Alojamiento en hoteles,,,,,,,341998-1,MESA DE CARDENAS MARGARITA MARIA,
409046-2,CASA KIWI,CARRERA 36 7 10,MEDELLÍN,2682668.0,,,casakiwi@gmail.com,5519,Otros tipos de alojamiento para visitantes,5630.0,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,5611.0,Expendio a la mesa de comidas preparadas,7912.0,Actividades de operadores turísticos,344007-1,THORESON PAUL WILLIAM,
408883-2,COMERCIALIZADORA Y SERVICIOS LA PAISITA,Calle 58 57 17,MEDELLÍN,2311950.0,2706162.0,,piedrapenol@une.net.co,9321,Actividades de parques de atracciones y parques temáticos,5513.0,Alojamiento en centros vacacionales,4719.0,"Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por productos diferentes de alimentos (víveres en general), bebidas (alcohólicas y no alcohólicas) y tabaco",7912.0,Actividades de operadores turísticos,343828-1,AGUIRRE VILLEGAS SONIA PATRICIA,
292746-2,HOTEL CENTRAL DE GUADALUPE ,CALLE 50 49 9,GUADALUPE,3104314573.0,,,diana1682@hotmail.es,5511,Alojamiento en hoteles,,,,,,,210140-1,HOYOS GRISALES MARTHA INES,
409724-2,HOTEL EL PUNTOS,CARRERA 64 B 75 04,MEDELLÍN,4418735.0,3148232251.0,5993942.0,yeral6910@gmail.com,5511,Alojamiento en hoteles,,,,,,,421383-12,HOTEL EL PUNTOS S.A.S.,FRANCI GERALDINE ALZATE AGUIRRE
156055-2,HOTEL BAHIA BOLIVAR ,CALLE 49 50 71,CIUDAD BOLIVAR,8411718.0,3137492929.0,,machadoceci476@gmail.com,5511,Alojamiento en hoteles,4724.0,"Comercio al por menor de bebidas y productos del tabaco, en establecimientos especializados",4719.0,"Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por productos diferentes de alimentos (víveres en general), bebidas (alcohólicas y no alcohólicas) y tabaco",,,491943-1,MACHADO HOYOS MARTA CECILIA,
410140-2,AFFINITY APARTA - HOTEL,CALLE 6 SUR 43 A 100,MEDELLÍN,3104983662.0,3128500776.0,,juanita@estiloejecutivo.com;rtascontable@gmail.com,5511,Alojamiento en hoteles,5512.0,Alojamiento en apartahoteles,5611.0,Expendio a la mesa de comidas preparadas,6810.0,Actividades inmobiliarias realizadas con bienes propios o arrendados,314814-4,NOVELTY SUITES S.A.,JUAN CARLOS TIRADO JARAMILLO
410050-2,HOTEL OCASION,CARRERA 45 46 74,MEDELLÍN,6100230.0,3217769911.0,,pedro688@hotmail.com,5630,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,4711.0,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",5511.0,Alojamiento en hoteles,,,258700-1,MARIN OROZCO PEDRO ANTONIO,
172271-2,HOTEL LAGOTOURS ,Carrera 48 10 45 oficina 1011,MEDELLÍN,3523300.0,,,camale1@hotmail.com;cmejiamora@hotmail.com,5511,Alojamiento en hoteles,,,,,,,183401-1,MEJIA MORA CARLOS ALBERTO,
411498-2,HOTEL DIANA JARDIN,CALLE 9 NO. 2 39,JARDIN,3113641820.0,,,hoteldianajardin@gmail.com,5511,Alojamiento en hoteles,,,,,,,583103-1,LOPEZ LOPEZ LUZ MARINA,
172830-2,CENTRO RECREATIVO EL CASTILLO DEL TAMBO ,VEREDA RIOGRANDE,DON MATIAS,3122555778.0,,,yuliana2021gu@gmail.com,5513,Alojamiento en centros vacacionales,5520.0,Actividades de zonas de camping y parques para vehículos recreacionales,5621.0,Catering para eventos,,,723738-1,GUTIERREZ RAMIREZ YULIANA,
167365-2,HOTEL POBLADO PLAZA ,CARRERA 43 A 4 SUR 75,MEDELLÍN,6040872.0,,,gerenciafinanciera@hotelpobladoplaza.com;olga.unates@hotelpobladoplaza.com,5511,Alojamiento en hoteles,5611.0,Expendio a la mesa de comidas preparadas,5630.0,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,,,291489-4,POBLADO HOTELES S.A,DIEGO PINEDA COURTNEY
157106-2,HOTEL CONQUISTADORES ,CARRERA 54 49 31,MEDELLÍN,5123232.0,,,oscarjaimebaena@hotmail.com;hotelconquistadores@gmail.com,5511,Alojamiento en hoteles,,,,,,,568585-1,ZAPATA CARRASQUILLA HENRY ALIRIO,
159338-2,HOTEL EL CORTIJO ,CARRERA 64 C 74 30,MEDELLÍN,4733398.0,,,mariafgaleano20@hotmail.com,5511,Alojamiento en hoteles,,,,,,,79066-1,GALEANO RIOS JAIRO DE JESUS,
414744-2,ESTACION DE SERVICIOS LAS MARGARITAS,KILOMETRO 14 VIA A MEDELLÍN,VALDIVIA,3127593968.0,3016250906.0,,edslasmargaritas14@gmail.com,4731,Comercio al por menor de combustible para automotores,5511.0,Alojamiento en hoteles,5611.0,Expendio a la mesa de comidas preparadas,,,349924-3,DISTRIBUCIONES BEMACUR LTDA,KELLY RIVERA SINITAVE
290242-2,EME PROPIEDAD RAIZ ,CARRERA 25 4 165 OFICINA 9634 SOTANO 4 - AMSTERDAM PLAZA,MEDELLÍN,6044448499.0,,,eme@emepropiedadraiz.com.co;mariaadelaidal@emepropiedadraiz.com.co,6820,Actividades inmobiliarias realizadas a cambio de una retribución o por contrata,5519.0,Otros tipos de alojamiento para visitantes,,,,,227475-12,EME PROPIEDAD RAIZ S.A.S,MARIA ADELAIDA LLANO UPEGUI
411883-2,RESIDENCIA MAFEJ,Carrera 32 29 26,URRAO,3136051982.0,,,domahe11@gmail.com,5511,Alojamiento en hoteles,,,,,,,346987-1,HERRERA HERRERA BEATRIZ ELENA,
161165-2,MOTEL LINDA,CALLE 53 53 96,MEDELLÍN,4077917.0,3114832490.0,,mm3794@hotmail.com,5530,Servicio de estancia por horas,5630.0,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,4711.0,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",5590.0,Otros tipos de alojamiento n.c.p.,503569-1,CARDONA DIAZ OSCAR DARIO,
408158-2,CIUDAD EL CAMINO DEL CAFE,CLLE SALIDA A HISPANIA,HISPANIA,8432077.0,3117333003.0,,37noreva@hotmail.es,5511,Alojamiento en hoteles,5630.0,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,4729.0,"Comercio al por menor de otros productos alimenticios n.c.p., en establecimientos especializados",,,343080-1,RENDON VASQUEZ CRUZ NORALBA,
406458-2,HOTEL LA PAZ MEDELLIN,Calle 57 50 A 87,MEDELLÍN,3148026749.0,,,penacristian.0515@gmail.com,5511,Alojamiento en hoteles,,,,,,,556029-1,PEÑA CHAVERRA CRISTIAN CAMILO,
411852-2,RESTAURANTE MI NUEVO BOHIO,CALLE 31 28 59,URRAO,3147737120.0,3128308332.0,6048502238.0,willybohio@gmail.com,5519,Otros tipos de alojamiento para visitantes,5611.0,Expendio a la mesa de comidas preparadas,,,,,346957-1,RINCON DURAN LUZ ELENA,
408844-2,HOTEL HACIENDA BALANDU,"KILOMETRO 1 VIA JARDIN- RIOSUCIO, JARDIN, ANTIOQUIA, COLOMBIA",JARDIN,8455561.0,,,emailinstitucional@comfenalcoantioquia.com,8430,Actividades de planes de seguridad social de afiliación obligatoria,5511.0,Alojamiento en hoteles,9329.0,Otras actividades recreativas y de esparcimiento n.c.p.,,,,CAJA DE COMPENSACION FAMILIAR COMFENALCO ANTIOQUIA,
289444-2,HOTEL POBLANCO ,CRA 50 50 54,FREDONIA,8401422.0,3136105693.0,8401659.0,flako_p@hotmail.com,5511,Alojamiento en hoteles,,,,,,,386867-1,PAREJA MESA GABRIEL JAIRO,
412648-2,"HOSTAL LOS CANTARES DE LA BONITA
",KMT.5 VIA CAMILO C-FREDONIA,AMAGA,8423708.0,,,,5511,Alojamiento en hoteles,,,,,,,374902-1,ARANGO HENAO JUAN MIGUEL,
415555-2,CASA HOTEL LUXURY ,Calle 33 66 B 155,MEDELLÍN,3004325856.0,5575327.0,,mauronarandu@hotmail.com,5511,Alojamiento en hoteles,5512.0,Alojamiento en apartahoteles,6810.0,Actividades inmobiliarias realizadas con bienes propios o arrendados,7710.0,Alquiler y arrendamiento de vehículos automotores,287386-1,NARANJO DUQUE MAURICIO ANDRES,
296955-2,HOTEL FOUR POINTS BY SHERATON MEDELLIN,CARRERA 43 C 6 SUR 100,MEDELLÍN,3197400.0,,,contabilidad@fourpointsmedellin.com,5511,Alojamiento en hoteles,5611.0,Expendio a la mesa de comidas preparadas,5621.0,Catering para eventos,,,234611-12,CAMINO DEL POBLADO SOCIEDAD POR ACCIONES SIMPLIFICADA,RAFAEL GUILLERMO HERRERA HURTADO
174268-2,"HOTEL Y RESTAURANTE GLORIA PATIÑO 

",CALLE BERRIO 18 28,ITUANGO,3127155203.0,,,ortegaalvarez172@gmail.com,5511,Alojamiento en hoteles,,,,,,,105266-1,PATINO REYES GLORIA DEL CARMEN,
172177-2,KANTARRANA CASA DE CAMPO,"VEREDA QUEBRADA BONITA, KM 4",JARDIN,8455184.0,,,gerencia@kantarrana.com,5511,Alojamiento en hoteles,,,,,,,103096-12,SOCIEDAD MARGIL S.A.S.,MARIO DE JESUS PABON GIRALDO
169062-2,RICA MIEL ,CALLE 30 A 83 B 63,MEDELLÍN,3046315024.0,,,ladota15@hotmail.com,4729,"Comercio al por menor de otros productos alimenticios n.c.p., en establecimientos especializados",5519.0,Otros tipos de alojamiento para visitantes,,,,,566732-1,DOMINGUEZ TABARES LAURA,
415828-2,HSC HOTEL SUITE COMFORT,CIRCULAR 5 66 B 24,MEDELLÍN,4483510.0,4440151.0,3113403020.0,gerencia@abordoviajesyturismo.com;tesoreria@abhoteles.co,5511,Alojamiento en hoteles,,,,,,,339743-12,ABORDO VIAJES Y TURISMO S.A.S,YULIET CRISTINA MEJIA ORTEGA
411694-2,OPERADORA TURISTICA CARIBEÑA ,CALLE 11 B 31 A 149 EDIFICIO SAUSALITO PRIMER PISO,MEDELLÍN,4444220.0,,,jagudelr@gmail.com;operturcaribe@gmail.com,7911,Actividades de las agencias de viaje,5512.0,Alojamiento en apartahoteles,,,,,346788-4,OPERADORA TURISTICA CARIBEÑA S.A.,JHON JAIRO AGUDELO R
292302-2,STATUS SUITES DE ESTILO EJECUTIVO ,CALLE 6 SUR 43 A 254,MEDELLÍN,3104983662.0,3128500776.0,,juanita@estiloejecutivo.com;rtascontable@gmail.com,5511,Alojamiento en hoteles,5512.0,Alojamiento en apartahoteles,5611.0,Expendio a la mesa de comidas preparadas,6810.0,Actividades inmobiliarias realizadas con bienes propios o arrendados,213631-4,ESTILO EJECUTIVO SUITES S A ,JUAN CARLOS TIRADO JARAMILLO
416526-2,EDGAR FABIO JARAMILLO RAMIREZ Y CIA.,CARRERA 47 58 43,MEDELLÍN,3015289612.0,,,sumidrogas@une.net.co,5530,Servicio de estancia por horas,5590.0,Otros tipos de alojamiento n.c.p.,5511.0,Alojamiento en hoteles,5513.0,Alojamiento en centros vacacionales,351738-12,EDGAR FABIO JARAMILLO RAMIREZ Y CIA. S.A.S.,PAOLA ANDREA JARAMILLO GOMEZ
291907-2,SALSAMENTARIA MAMA RUBIELA,CIRC. 2 N. 74 - 18,MEDELLÍN,3207569681.0,,,auxiliarcontable@ingeniesis.com,5590,Otros tipos de alojamiento n.c.p.,,,,,,,229284-1,MEJIA ACEVEDO NURY,
424276-2,"AVIATUR VIAJES VIEJO Y NUEVO MUNDO.
",CALLE 10 30 30 OFI 317,MEDELLÍN,2517162.0,5765000.0,,elizabethmorales@aviatur.com,7911,Actividades de las agencias de viaje,7912.0,Actividades de operadores turísticos,5511.0,Alojamiento en hoteles,8230.0,Organización de convenciones y eventos comerciales,,AGENCIA DE VIAJES Y TURISMO AVIATUR S.A.S,
413546-2,BLACK SHEEP HOSTAL,TRANSVERSAL 5 A 45 133,MEDELLÍN,3111589.0,,,kelvin@blacksheepmedellin.com,5519,Otros tipos de alojamiento para visitantes,5630.0,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,,,,,639709-1,LEEMING KELVIN VICTOR,
452936-2,MANDALA HOTEL BELEN,CALLE 30 74 50,MEDELLÍN,4486565.0,4486565.0,4486565.0,facturaciongyc@hotmail.com,5511,Alojamiento en hoteles,4711.0,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",5630.0,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,,,488634-12,GOMEZ Y CORRALES S.A.S,YEISON ALEXIS CORRALES OSORIO
453764-2,REIDY CIVIL ENGINEERING LIMITADA,Calle 51 51 31 OFICINA 1303 TORRE II EDIFICIO COLTABACO,MEDELLÍN,3521176.0,3505330110.0,,admin@pitstophostel.com,5519,Otros tipos de alojamiento para visitantes,,,,,,,,REIDY CIVIL ENGINEERING LIMITADA,
292555-2,APARTA HOTEL LIMSOR,CARRERA 49 45 17,MEDELLÍN,3137708489.0,,,jasbleide94@hotmail.com,5630,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,5512.0,Alojamiento en apartahoteles,,,,,728967-1,NARVAEZ NARVAEZ BRIYI JASBLEIDE,
418528-2,HOTEL Y CAFETERIA RIO MAN,VEREDA RIO MAN CORREGIMIENTO GUARUMO,CÁCERES,3135753325.0,8382977.0,,rojassulit@gmail.com,5511,Alojamiento en hoteles,,,,,,,353826-1,ROJAS RODRIGUEZ SULIT YANETH,
419394-2,HOSTAL MEDELLIN,Calle 44B No69-13,MEDELLÍN,2600660.0,3113348083.0,,hostalmedellin@hotmail.com;info@hostalmedellin.com,5519,Otros tipos de alojamiento para visitantes,5590.0,Otros tipos de alojamiento n.c.p.,,,,,354738-1,GARCIA BERNAL LUZ ESTELA MARIA,
418805-2,"PARQUE LOS TAMARINDOS
",KILOMETRO 32-33 CONEXION VIAL ABURRA - RIO CAUCA,SAN JERÓNIMO,8580560.0,,,emailinstitucional@comfenalcoantioquia.com,8430,Actividades de planes de seguridad social de afiliación obligatoria,9321.0,Actividades de parques de atracciones y parques temáticos,9329.0,Otras actividades recreativas y de esparcimiento n.c.p.,5511.0,Alojamiento en hoteles,,CAJA DE COMPENSACION FAMILIAR COMFENALCO ANTIOQUIA,
454997-2,HOTEL COLONIAL CENTRO,CARRERA 20 20 49,YARUMAL,8871927.0,3114241771.0,,ceci.r30@hotmail.com,5511,Alojamiento en hoteles,,,,,,,391091-1,AREIZA MEDINA JUAN CARLOS,
181403-2,"HOTEL DINA
",CALLE 51 51 21,BELLO,2722375.0,,,nira.275@hotmail.com,5511,Alojamiento en hoteles,,,,,,,253469-1,MONCADA ARISTIZABAL LUZ DARY,
184104-2,HOTEL MANZANARES,CARRERA 54 50 58,MEDELLÍN,3148756972.0,2313353.0,,migutierrezb@hotmail.com,5511,Alojamiento en hoteles,5630.0,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,4711.0,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",,,624145-1,CAMARGO CHACON FERNEL,
454846-2,PROPIEDADES Y AUTOS,CARRERA 81 42 40,MEDELLÍN,6044132077.0,3147919539.0,,facturacionelectronicapya@gmail.com;negociospropiedadesya@gmail.com,6810,Actividades inmobiliarias realizadas con bienes propios o arrendados,8299.0,Otras actividades de servicio de apoyo a las empresas n.c.p.,5511.0,Alojamiento en hoteles,,,477386-1,JARAMILLO FRANCO ERIC,
415599-2,FINCA HOTEL LOS ARRAYANES,VEREDA LA PRIMAVERA,BETANIA,3108339740.0,,,fhlosarrayanessas2020@gmail.com,5511,Alojamiento en hoteles,123.0,Cultivo de café,,,,,691678-12,FH LOS ARRAYANES S.A.S.,ISABEL CRISTINA ECHEVERRI RESTREPO
453856-2,HOTEL RIO PIEDRAS,CARRERA 5 6 51,JERICÓ,3006416340.0,3113011542.0,,reservas@hotelriopiedras.com,5511,Alojamiento en hoteles,,,,,,,389873-1,PELAEZ URIBE JUAN SEBASTIAN,
181943-2,HOTEL PANORAMA MEDELLIN,CARRERA 45 49 50,MEDELLÍN,2518801.0,3136927557.0,,anamilco@hotmail.com,5511,Alojamiento en hoteles,4711.0,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",5630.0,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,,,658435-12,INVERSIONES CJG S.A.S.,ENIDIER ORLEI JIMENEZ FORONDA
294934-2,HOTEL PARADOR RIOMAR DE LA BUCANA,LA BUCANA EL CRUCERO,LA PINTADA,3113891049.0,,,riomar01@gmail.com,5611,Expendio a la mesa de comidas preparadas,5511.0,Alojamiento en hoteles,,,,,232439-1,VELEZ RICO JOSE MANUEL,
420304-2,HOTEL LOS SAMANES,CALLE 49 50 79,CIUDAD BOLIVAR,8411146.0,3122886823.0,,juangonzalosv@hotmail.com,5511,Alojamiento en hoteles,5611.0,Expendio a la mesa de comidas preparadas,,,,,234159-1,SANCHEZ VASQUEZ JUAN GONZALO,
453600-2,NH COLLECTION ROYAL MEDELLIN,CARRERA 42 NO. 5 SUR 130,MEDELLÍN,3132461682.0,,,impuestoscolombia@nh-hotels.com,5511,Alojamiento en hoteles,,,,,,,,"HOTELES ROYAL S.A
",
454494-2,ESTUDIO INMOBILIARIO S.A.S,DIAGONAL 50 49 84 OF 602,MEDELLÍN,4487048.0,3127762307.0,,info@estudioinmobiliario.com.co,6820,Actividades inmobiliarias realizadas a cambio de una retribución o por contrata,5512.0,Alojamiento en apartahoteles,5519.0,Otros tipos de alojamiento para visitantes,,,390544-12,ESTUDIO INMOBILIARIO S.A.S,WALTER DE JESUS ARBELAEZ QUINTERO
454741-2,HOTEL LA UNION CAUCASIA,CALLE 24 ENTRE 1 Y 2 BARR. EL FERRI,CAUCASIA,3205647892.0,,,lineydelaossa82@hotmail.com,5511,Alojamiento en hoteles,,,,,,,390812-1,DE LA OSSA MEZA LINEY MARCELA,
416610-2,GOKA SPORT,Calle 49 54 43 LOCAL 1001,MEDELLÍN,5121382.0,,,carteragoka@hotmail.com,5511,Alojamiento en hoteles,,,,,,,351824-1,CALA RODRIGUEZ SERGIO MAURICIO,
172063-2,NUTIAUTOS ,CALLE 44 A 79 155,MEDELLÍN,3108213267.0,4124740.0,,nutiautos@une.net.co,4512,Comercio de vehículos automotores usados,5519.0,Otros tipos de alojamiento para visitantes,,,,,59299-1,"BETANCUR ARCILA AUGUSTO JAIME, EN PROCESO DE NEGOCIACIÓN DE EMERGENCIA",
417995-2,ADMINISTRADORA HOTELERA MEDELLIN,CALLE 17 40 B 300,MEDELLÍN,4445252.0,,,dirfinanciera@hotelbelfort.com,5511,Alojamiento en hoteles,1084.0,Elaboración de comidas y platos preparados,,,,,353276-4,ADMINISTRADORA HOTELERA MEDELLIN S.A.,MANUEL JOSE MOLINA ARISTIZABAL
419747-2,KORAZZA IMPORTACIONES,CALLE 50 55 50 LOCAL 104,MEDELLÍN,4447229.0,,,carlosmario29@hotmail.com,4659,Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.,5519.0,Otros tipos de alojamiento para visitantes,4641.0,"Comercio al por mayor de productos textiles, productos confeccionados para uso doméstico",,,355124-1,OROZCO RUEDA CARLOS MARIO,
465154-2,ART HOTEL,CARRERA 41 9 31,MEDELLÍN,3697900.0,,,admin.medellin@arthotel.com.co,5511,Alojamiento en hoteles,,,,,,,694992-12,INVERSIONES MONTECANTO S.A.S.,JAIME ENRIQUE ARRIETA BECHARA
417689-2,ORANGE SUITES,CALLE 8 43 C 37,MEDELLÍN,2689516.0,2687050.0,,financieromed@travelers.com.co;gerencia.orange@travelers.com.co,6810,Actividades inmobiliarias realizadas con bienes propios o arrendados,5519.0,Otros tipos de alojamiento para visitantes,9601.0,"Lavado y limpieza, incluso la limpieza en seco, de productos textiles y de piel",5619.0,Otros tipos de expendio de comidas preparadas n.c.p.,352968-12,SOCIEDAD INMOBILIARIA ORANGE SUITES S.A.S,KARINA ARCINIEGAS LAVERDE
184389-2,"HOTEL LAS GUACAMAYAS JARDIN
",CARRERA 5 GIRARDOT N 8 52,JARDIN,8456507.0,3216461101.0,,alzatenas1974@yahoo.com,5611,Expendio a la mesa de comidas preparadas,5511.0,Alojamiento en hoteles,,,,,585777-1,ALVAREZ VILLA ELSA MARIA,
419193-2,HOGAR GERIATRICO PAZ Y ARMONIA,CARRERA 82 32 EE 09,MEDELLÍN,2505446.0,3148561133.0,,pazyarmonia2@hotmail.com,5590,Otros tipos de alojamiento n.c.p.,,,,,,,,MARIN MORALES MAGDA MERCY,
